epoch	avg_loss
0	5.2097
1	3.6674
2	2.9327
3	2.4411
4	2.0883
5	1.8071
6	1.5707
7	1.3717
8	1.2060
9	1.0682
10	0.9579
11	0.8713
12	0.8026
13	0.7439
14	0.6893
15	0.6385
16	0.5883
17	0.5266
18	0.4541
19	0.4199
20	0.3947
21	0.3694
22	0.3506
23	0.3340
24	0.3228
25	0.3105
26	0.3010
27	0.2922
28	0.2837
29	0.2777
30	0.2700
31	0.2650
32	0.2594
33	0.2538
34	0.2489
35	0.2441
36	0.2421
37	0.2375
38	0.2344
39	0.2304
40	0.2275
41	0.2246
42	0.2218
43	0.2183
44	0.2170
45	0.2155
46	0.2126
47	0.2106
48	0.2093
49	0.2071
50	0.2049
51	0.2032
52	0.2010
53	0.2007
54	0.1985
55	0.1964
56	0.1950
57	0.1944
58	0.1922
59	0.1922
60	0.1902
61	0.1889
62	0.1878
63	0.1856
64	0.1850
65	0.1842
66	0.1831
67	0.1825
68	0.1810
69	0.1805
70	0.1800
71	0.1789
72	0.1768
73	0.1777
74	0.1764
75	0.1754
76	0.1738
77	0.1741
78	0.1738
79	0.1725
80	0.1728
81	0.1718
82	0.1711
83	0.1699
84	0.1692
85	0.1684
86	0.1683
87	0.1675
88	0.1668
89	0.1672
90	0.1662
91	0.1652
92	0.1650
93	0.1630
94	0.1632
95	0.1636
96	0.1619
97	0.1617
98	0.1608
99	0.1602
