epoch	avg_mae
0	0.1714
1	0.0788
2	0.0577
3	0.0484
4	0.0419
5	0.0360
6	0.0318
7	0.0285
8	0.0260
9	0.0235
10	0.0219
11	0.0206
12	0.0195
13	0.0180
14	0.0174
15	0.0167
16	0.0155
17	0.0152
18	0.0144
19	0.0139
20	0.0136
21	0.0129
22	0.0124
23	0.0119
24	0.0116
25	0.0113
26	0.0111
27	0.0106
28	0.0104
29	0.0101
30	0.0100
31	0.0097
32	0.0094
33	0.0094
34	0.0090
35	0.0088
36	0.0086
37	0.0084
38	0.0084
39	0.0082
40	0.0078
41	0.0078
42	0.0079
43	0.0076
44	0.0074
45	0.0074
46	0.0074
47	0.0072
48	0.0070
49	0.0068
50	0.0068
51	0.0068
52	0.0067
53	0.0066
54	0.0065
55	0.0063
56	0.0061
57	0.0062
58	0.0062
59	0.0060
60	0.0060
61	0.0060
62	0.0058
63	0.0057
64	0.0057
65	0.0055
66	0.0055
67	0.0054
68	0.0055
69	0.0053
70	0.0053
71	0.0052
72	0.0053
73	0.0052
74	0.0051
75	0.0051
76	0.0051
77	0.0049
78	0.0048
79	0.0048
80	0.0048
81	0.0048
82	0.0048
83	0.0047
84	0.0048
85	0.0046
86	0.0046
87	0.0046
88	0.0046
89	0.0045
90	0.0045
91	0.0044
92	0.0044
93	0.0043
94	0.0042
95	0.0043
96	0.0042
97	0.0043
98	0.0042
99	0.0042
