epoch	avg_mae
0	0.4131
1	0.2845
2	0.2361
3	0.2004
4	0.1734
5	0.1505
6	0.1305
7	0.1129
8	0.0975
9	0.0847
10	0.0746
11	0.0670
12	0.0613
13	0.0564
14	0.0518
15	0.0475
16	0.0432
17	0.0371
18	0.0283
19	0.0241
20	0.0216
21	0.0196
22	0.0179
23	0.0167
24	0.0158
25	0.0149
26	0.0141
27	0.0135
28	0.0129
29	0.0124
30	0.0118
31	0.0114
32	0.0110
33	0.0107
34	0.0103
35	0.0101
36	0.0098
37	0.0095
38	0.0093
39	0.0090
40	0.0088
41	0.0086
42	0.0084
43	0.0082
44	0.0081
45	0.0080
46	0.0078
47	0.0077
48	0.0076
49	0.0075
50	0.0073
51	0.0073
52	0.0071
53	0.0070
54	0.0069
55	0.0068
56	0.0067
57	0.0066
58	0.0066
59	0.0065
60	0.0064
61	0.0063
62	0.0062
63	0.0061
64	0.0061
65	0.0060
66	0.0060
67	0.0059
68	0.0058
69	0.0058
70	0.0057
71	0.0056
72	0.0056
73	0.0056
74	0.0055
75	0.0054
76	0.0054
77	0.0054
78	0.0053
79	0.0053
80	0.0053
81	0.0052
82	0.0052
83	0.0051
84	0.0051
85	0.0050
86	0.0050
87	0.0049
88	0.0049
89	0.0049
90	0.0048
91	0.0048
92	0.0048
93	0.0047
94	0.0047
95	0.0047
96	0.0047
97	0.0046
98	0.0046
99	0.0046
